Actinomyces bovis
Anaplasma phagocytophilum
Ancylostoma duodenale
Ascaris lumbricoides
Babesia microti
Bacillus anthracis
Bartonella bacilliformis
Bartonella clarridgeiae
Bartonella elizabethae
Bartonella henselae
Bartonella quintana
Bordetella pertussis
Borrelia
Brugia malayi
Brugia timori
Brucella abortus
Brucella canis
Brucella ceti
Brucella melitensis
Brucella neotomae
Brucella ovis
Brucella pinnipedialis
Brucella suis
Burkholderia mallei
Candida albicans
Chlamydia
Corynebacterium diphtheriae
Coxiella burnetii
Echinococcus granulosus
Echinococcus multilocularis
Entamoeba histolytica
Erysipelothrix rhusiopathiae
Francisella tularensis
Giardia lamblia
Haemophilus ducreyi
Haemophilus influenzae
Helicobacter pylori
Kingella kingae
Klebsiella pneumoniae
Legionella pneumophila
Leishmania
Leptospira
Listeria monocytogenes
Loa loa
Mycobacterium leprae
Mycobacterium lepromatosis
Mycobacterium tuberculosis
Mycoplasma pneumoniae
Necator americanus
Neisseria gonorrhoeae
Neisseria lactamica
Neisseria meningitidis
Neisseria weaveri
Onchocerca volvulus
Orientia tsutsugamushi
Pasteurella multocida
Plasmodium falciparum
Plasmodium knowlesi
Plasmodium malariae
Plasmodium ovale
Plasmodium vivax
Rickettsia akari
Rickettsia australis
Rickettsia africae
Rickettsia conorii
Rickettsia felis
Rickettsia heilongjiangensis
Rickettsia honei
Rickettsia japonica
Rickettsia parkeri
Rickettsia philipii
Rickettsia prowazekii
Rickettsia raoultii
Rickettsia rickettsii
Rickettsia sibirica
Rickettsia slovaca
Rickettsia typhi
Salmonella enterica
Salmonella typhi
Schistosoma
Shigella boydii
Shigella dysenteriae
Shigella flexneri
Streptobacillus moniliformis
Streptococcus agalactiae
Streptococcus mutans
Streptococcus pneumoniae
Streptococcus pyogenes
Streptococcus suis
Strongyloides stercoralis
Taenia solium
Toxoplasma gondii
Treponema carateum
Treponema pallidum
Treponema pertenue
Trichomonas vaginalis
Trichuris trichiura
Trypanosoma brucei
Ureaplasma urealyticum
Vibrio cholerae
Vibrio parahaemolyticus
Vibrio vulnificus
Yersinia enterocolitica
Yersinia pestis
Yersinia pseudotuberculosis
virus
